fdc_id,description,food_category_id,is_breakfast,is_morning_snack,is_lunch,is_afternoon_snack,is_dinner,is_beverage,calories,protein,fat,cholesterol,carbohydrate,sugar,sodium,calcium,iron,potassium,vitamin_c
170370,"DOMINO'S 14"" Pepperoni Pizza, Crunchy Thin Crust",21,0,0,1,0,1,0,328.0,13.88,19.05,38.0,25.35,3.65,783.0,236.0,1.13,224.0,1.2
170371,"DOMINO'S 14"" Sausage Pizza, Crunchy Thin Crust",21,0,0,1,0,1,0,319.0,12.77,18.52,35.0,25.3,3.42,725.0,234.0,1.07,231.0,1.1
170372,"PIZZA HUT 14"" Sausage Pizza, Pan Crust",21,0,0,1,0,1,0,287.0,11.08,13.85,23.0,29.56,1.82,596.0,132.0,2.39,192.0,1.6
170373,"Pizza, cheese topping, thin crust, frozen, cooked",21,0,0,1,0,1,0,263.0,11.91,11.07,21.0,28.8,3.71,471.0,228.0,2.14,201.0,0.1
170376,"Beet greens, cooked, boiled, drained, without salt",11,1,1,1,1,1,0,27.0,2.57,0.2,0.0,5.46,0.6,241.0,114.0,1.9,909.0,24.9
170380,"Broccoli, frozen, spears, cooked, boiled, drained, without salt",11,1,1,1,1,1,0,28.0,3.1,0.11,0.0,5.36,1.47,24.0,51.0,0.61,180.0,40.1
170382,"Broccoli raab, cooked",11,1,1,1,1,1,0,25.0,3.83,0.52,0.0,3.12,0.62,56.0,118.0,1.27,343.0,37.0
170384,"Burdock root, cooked, boiled, drained, without salt",11,1,1,1,1,1,0,88.0,2.09,0.14,0.0,21.15,3.55,4.0,49.0,0.77,360.0,2.6
170391,"Cabbage, chinese (pak-choi), cooked, boiled, drained, without salt",11,1,1,1,1,1,0,12.0,1.56,0.16,0.0,1.78,0.83,34.0,93.0,1.04,371.0,26.0
170392,"Cabbage, kimchi",11,1,1,1,1,1,0,15.0,1.1,0.5,0.0,2.4,1.06,498.0,33.0,2.5,151.0,0.0
170394,"Carrots, cooked, boiled, drained, without salt",11,1,1,1,1,1,0,35.0,0.76,0.18,0.0,8.22,3.45,58.0,30.0,0.34,235.0,3.6
170395,"Carrots, canned, regular pack, solids and liquids",11,1,1,1,1,1,0,23.0,0.58,0.14,0.0,5.37,2.46,240.0,31.0,0.52,173.0,2.0
170396,"Carrots, canned, regular pack, drained solids",11,1,1,1,1,1,0,25.0,0.64,0.19,0.0,5.54,2.48,242.0,25.0,0.64,179.0,2.7
170397,"Cauliflower, cooked, boiled, drained, without salt",11,1,1,1,1,1,0,23.0,1.84,0.45,0.0,4.11,2.08,15.0,16.0,0.32,142.0,44.3
170399,"Cauliflower, frozen, cooked, boiled, drained, without salt",11,1,1,1,1,1,0,19.0,1.61,0.22,0.0,3.75,1.05,18.0,17.0,0.41,139.0,31.3
170401,"Chard, swiss, cooked, boiled, drained, without salt",11,1,1,1,1,1,0,20.0,1.88,0.08,0.0,4.13,1.1,179.0,58.0,2.26,549.0,18.0
170403,"Chayote, fruit, cooked, boiled, drained, without salt",11,1,1,1,1,1,0,24.0,0.62,0.48,0.0,5.09,1.89,1.0,13.0,0.22,173.0,8.0
170405,"Chrysanthemum, garland, cooked, boiled, drained, without salt",11,1,1,1,1,1,0,20.0,1.64,0.09,0.0,4.31,2.01,53.0,69.0,3.74,569.0,23.9
170407,"Collards, cooked, boiled, drained, without salt",11,1,1,1,1,1,0,33.0,2.71,0.72,0.0,5.65,0.4,15.0,141.0,1.13,117.0,18.2
170409,"Corn, sweet, yellow, canned, brine pack, regular pack, solids and liquids",11,1,1,1,1,1,0,61.0,1.95,0.77,0.0,13.86,4.15,195.0,4.0,0.36,136.0,2.6
170411,"Onions, frozen, chopped, cooked, boiled, drained, without salt",11,1,1,1,1,1,0,28.0,0.77,0.1,0.0,6.59,2.9,12.0,16.0,0.3,108.0,2.6
170413,"Onions, frozen, whole, cooked, boiled, drained, without salt",11,1,1,1,1,1,0,28.0,0.71,0.05,0.0,6.7,2.9,8.0,27.0,0.34,101.0,5.1
170415,"Onion rings, breaded, par fried, frozen, prepared, heated in oven",11,1,1,1,1,1,0,276.0,4.14,14.3,0.0,33.79,5.1,370.0,31.0,1.25,123.0,1.6
170416,"Parsley, fresh",11,1,1,1,1,1,0,36.0,2.97,0.79,0.0,6.33,0.85,56.0,138.0,6.2,554.0,133.0
170418,"Peas, edible-podded, frozen, cooked, boiled, drained, without salt",11,1,1,1,1,1,0,52.0,3.5,0.38,0.0,9.02,4.82,5.0,59.0,2.4,217.0,22.0
170420,"Peas, green, cooked, boiled, drained, without salt",11,1,1,1,1,1,0,84.0,5.36,0.22,0.0,15.63,5.93,3.0,27.0,1.54,271.0,14.2
170421,"Peas, green, canned, regular pack, solids and liquids",11,1,1,1,1,1,0,58.0,3.01,0.48,0.0,10.6,3.2,185.0,20.0,1.29,106.0,7.8
170426,"Peppers, hot chili, green, canned, pods, excluding seeds, solids and liquids",11,1,1,1,1,1,0,21.0,0.9,0.1,0.0,5.1,3.12,1173.0,7.0,0.5,187.0,68.0
